 139  3       Utlysning av forskningsmidler - Peder Sather Grant Program [2607846268122899286, article]
 140  3       Utlysning av midler - CAPES-SIU-programmet for samarbeid Brasil-Norge [1570997993359737405, article]
 141  3       Planlegging av søknader om store forskningsprosjekter - formidlingsstrategier [6501960417624442292, article]
 142  3       Norges Forskningsråd: finn utlysninger [1175714156810666145, article]
 143  3       FRIHUM-utlysninger [2869861339229663306, article]
 144  2     Publikasjoner ved Institutt for fremmedspråk [1114061495885523840, navigationpage]
 145  3       Publikasjoner utgitt 2010 [749971667919397043, article]
 146  3       Publikasjoner utgitt 2009 [8281753765567510232, article]
 147  3       Publikasjoner utgitt 2008 [1285398409115991148, article]
 148  2     Tidsskrift og serier [4836621691169844349, navigationpage]
 149  3       Corrientes [4836621691169844369, article]
 150  3       BeLLS [8184662715823148703, article]
 151  3       Slavica Bergensia [4775920212923366727, navigationpage]
 152  4         Published volumes [6555367628772891340, navigationpage]
 153  5            Setevye razgovory: kul’turnye kommunikatsii v Runete [4878663386362037827, article]
 154  5           From Poets to Padonki: Linguistic Authority and Norm Negotiation in Modern Russian Culture [7108953483977810080, article]
 155  5           The Poetry of Prose: Readings in Russian Literature [4856574457261481368, article]
 156  5           Styling Russia: Multiculture in the Prose of Nikolai Leskov [3191966995073473967, article]
 157  5           Landslide of the Norm: Language Culture in Post-Soviet Russia [4524414473886506602, article]
 158  5           Gender and Sexuality in Ethical Context: Ten Essays on Polish Prose [3191966995073473934, article]
 159  5           Desire, Death and Imitation: Narrative Patterns in the Late Tolstoy [5192474081693246111, article]
 160  5           Samveldet av uavhengige stater: en historisk, politisk og kulturell oversikt [4524414473886506593, article]
 161  5           Kirill of Turov: Bishop, Preacher, Hymnographer [4524414473886506584, article]
 162  5           Dialogue and Rhetoric: Communication Strategies in Russian Text and Theory [4524414473886506574, article]
 163  4         Forthcoming volumes [2954236741931798455, navigationpage]
 164  5           From Poets to Padonki: Linguistic Authority and Norm Negotiation in Modern Russian Culture [7108953483977810080, article, DUPLICATE #154]
 165  5           Современные методы в диалектологии. Ареал северных, северо-западных русских и белорусских говоров Contemporary approaches to dialectology: The area of North, Northwest Russian and Belarusian vernaculars [1393613768147567851, article]
 166  5           Vladimir Sorokin's Languages [4478951911982031657, article]
 167  4         Advisory board [2711825042315780466, article]
 168  4         Ordering information [5088292059088886871, article]
 169  3       Arena Romanistica [3216310795955065129, article]
