   1  0 Institutt for filosofi og førstesemesterstudier [3899846132506878747, institutt]
 207  3       Forsknings- og formidlingsutvalget [7074569354522766471, article]
 208  3       Fagstudieutvalget [7456898873232031510, article]
 209  3       Førstesemesterutvalget [7456898873232031520, article]
 210  3       HMS-utvalg [625295234488063428, article]
 211  3       Studentenes fagutvalg [3200288457636798419, article]
 212  2     Rapporter og styringsdokumenter [2459550542528993980, navigationpage]
 213  3       Instituttstrategi 2009 - 2013 [143196874959817133, navigationpage]
 214  4         Innledning  [2283352474398588691, article]
 215  4         Overordnede faglige og strategiske perspektiver [6261306588311258936, article]
 216  4         Forskning [5508254955366352766, article]
 217  4         Undervisning [6543694881436555207, article]
 218  4         Rekruttering og prioritering av stillinger [8815820421974843521, article]
 219  4         Infrastruktur, økonomi, administrasjon [8815820421974843533, article]
 220  4         Helse, miljø og sikkerhet (HMS) [5044307877272968709, article]
 221  3       Forskarutdanningsmeldingar [8649727839024173787, navigationpage]
 222  4         2009 [7973237364017861114, navigationpage]
 223  4         2008 [4406324367885406938, article]
 224  3       Forskingsmeldingar [2396110567392166675, navigationpage]
 225  4         2009 [7973237364017861127, navigationpage]
 226  4         2008 [7748682141435966593, article]
 227  3       Utdanningsmeldingar [7748682141435966598, navigationpage]
 228  4         2008 [2396110567392166691, article]
 229  3       Årsmeldingar [6489938071821625453, navigationpage]
 230  4         Årsmelding for 2009 [5917613638409114784, navigationpage]
 231  4         Årsmelding for 2010 [3474722529331094113, navigationpage]
 232  2     FoF-bulletin [3011384056639489004, article]
 233  2     For instituttets ansatte [7819862173437606614, navigationpage]
 234  3       Viktige nettsider ved UiB [6757929017902495527, navigationpage]
 235  3       Brukerstøtte og bestilling [2541754069915889902, navigationpage]
 236  3       Bibliotek og søketenester [7301616244938338782, navigationpage]
 237  3       Samarbeidspartnere  [2473728324420710517, navigationpage]
 238  4         Senter for kvinne- og kjønnsforskning [1243165932600519238, institutt skok]
 239  4         Senter for vitenskapsteori [1243165932600519244, institutt svt]
 240  4         Wittgensteinsarkivet  [4934042770894224919, article]
 241  3       Dokumentarkiv [5738409461208745604, article]
 242  3       Forskningsmidler [8431926892021288675, navigationpage]
 243  4         Midler det kan søkes instituttet om:  [3083281875195189735, navigationpage]
 244  4         Forskningstermin [328277637683234911, navigationpage]
